CATEGORIA;MARCA;REST_OA;REST_GT;REST_AAD;REST_AAR;REST_AN;REST_CN;REST_CA;REST_PREC;SELO_CLEAN;SELO_VEGAN;SELO_TRANS;SELO_ORGANIC
Iogurte;Fazenda Bela Vista;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Danone;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Danone;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Italianinho;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Danone;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Danone;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Danone;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Danone;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Danone;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Danone;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Kopenhagen;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Nutrella;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Paniccia;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Perugina;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Wilson;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Callebaut;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Vigor;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Vigor;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacau dos Deuses;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pullman;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Pan;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Batavo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Denegredo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacau Show;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Aminna;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Swiss Alps;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Newbread;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;SoftPão;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Qualitá;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Qualitá;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Chocolate Araucária;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Shirmann;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Delirie;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Leite Pan;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Bacio di Latte;sim;não;sim;não;não;não;não;não;sim;não;não;não
Iogurte;Casa da Ovelha;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Casa da Ovelha;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Casa da Ovelha;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Casa da Ovelha;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Casa da Ovelha;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Casa da Ovelha;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Vita Max;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Leite Pan;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Empório Life;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacao D'Oro;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Milka;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Charlotte;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Harald;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Nutry Power;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Baldini;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Rede Super;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Estrela da Manhã;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Tocca;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Senhor Mendo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;CACAUHOLIC;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Mestiço Chocolates;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Bacio di Latte;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Bacio di Latte;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Bacio di Latte;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Sandubidu;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;GranKakao;sim;não;sim;não;não;não;não;não;sim;não;não;não
Iogurte;Letti;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Belgian;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Plus Vita;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Mestiço Chocolates;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Qualitá;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Vero;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Trigos;sim;não;sim;não;não;não;não;não;sim;não;não;não
Molho de Tomate;Dia;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Farias;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lacta;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pullman;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Althoff Supermercados;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lugano;sim;não;sim;não;não;não;não;não;não;não;não;não
Molho de Tomate;Carrefour;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Carrefour;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Nature's Heart;sim;não;sim;não;não;não;não;não;não;não;não;não
Molho de Tomate;Sacciali;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Melken Harald;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Pralin Art;sim;não;sim;não;não;não;não;não;não;não;não;não
Molho de Tomate;Quero;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Q-Pão;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Nutrella;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Ferronatto;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Newbread;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Da Márcia;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Brasil Cacau;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Danke;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Plusvita;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lacta;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Center Massas;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Mendoíno;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;E. Wedel;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pullman;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Kaê;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Nestlé;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Newbread;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Delícias do Trigo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Delícias do Trigo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Gallette Chocolates;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Pão Levan;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Mio Cacau;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;"Chef \u0026amp; Você";sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Brasil Cacau;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Mestiço Chocolates;sim;não;sim;não;não;não;não;não;sim;não;não;não
Pão;Empório Saúde;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacau Show;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Sonhos de Leite;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Florybal;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Guarany;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Wickbold;sim;não;sim;não;não;não;não;não;não;não;não;não
Pasta de Amendoim;Mandubim;sim;não;sim;não;não;não;não;não;sim;não;não;não
Chocolate;Kopenhagen;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Gold Boys;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Florestal;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Massabor;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Nossa Senhora de Fátima;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Trapa;sim;não;sim;não;não;não;não;não;não;não;não;não
Iogurte;Laticínios Porto Alegre;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Choco Soy;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Baiukka;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Plusvita;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Caracol;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Rose Pão;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Brico Alimentos;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Chor;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Vital;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Nutri Good;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Schogetten;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Cacau Show;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Nestlé;sim;não;sim;não;não;não;não;não;não;não;não;não
Pão;Bimbo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Dengo;sim;não;sim;não;não;não;não;não;não;não;não;não
Chocolate;Lindt;sim;não;sim;não;não;não;não;não;não;não;não;não
